"","LIBID","LIBNAME","PHONE","CENTLIB","BRANLIB","BKMOB","MASTER","LIBRARIA","OTHPAID","LOCGVT","STGVT","FEDGVT","OTHINCM","TOTINCM","TOTEXPCO","TOTOPEXP","CAPITAL","BKVOL","SUBSCRIP","REFERENC","TOTCIR","LOANTO","LOANFM","KIDCIRCL","KIDATTEN","C_RELATN","C_LEGBAS","C_ADMIN","CNTY","POPU_UND","FSCSKEY","STABR","OBEREG","RSTATUS","C_FSCS","ELMATEXP","GEOCODE","POPU_LSA","TOTSTAFF","HRS_OPEN","VISITS","GPTERMS","YR_SUB","ADDRES_M","ZIP4_M","LSABOUND","PRMATEXP","OTHMATEX","CAP_REV","EBOOK","DATABASE","STARTDAT","ENDDATE","TOTPRO","TOTATTEN","LCAP_REV","SCAP_REV","OCAP_REV","KIDPRO","STATSTRU","STATNAME","STATADDR","DB_ST","REGBOR","PITUSR","LONGITUD","FIPSST","FIPSCO","FIPSPLAC","CENBLOCK","CDCODE","CNTYPOP","LOCALE","YAPRO","YAATTEN","AUDIO_PH","AUDIO_DL","VIDEO_PH","VIDEO_DL","CBSA","MICROF","DB_LO_OT","GAL","GALMS","POSTMS","Year"
"151516","4801290000","NEW YORK PUBLIC LIBRARY, THE BRANCH LIBRARIES","2129300674",1,88,0,587.21,587.21,1865.96,"$146816680.00","$24196243.00","$1624415.00","$69401924.00","$242039262.00","$32774759.00","$248990930.00",NA,21611832,68339,8495072,21131830,8270,2659,5217976,436611,"HQ","NP","MO","NEW YORK",3287389,"NY0778","NY",2,1,"Y","$9285.00","MC1",NA,2453.17,235560,17362684,3085,2009,"455 FIFTH AVENUE","122",NA,"$32725101.00","$40373.00","$5569142.00",151996,649,"1/1/08","12/31/08",36396,779929,"$3784211.00","$1784931.00","$0.00",16451,0,0,0,15,3063833,2854074,-73.981907,36,61,51000,1003,"14",1634795,"11",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2008"
"160078","400300000","BROOKLYN PUBLIC LIBRARY","7182302403",1,59,2,356.56,421.75,700.44,"$101593381.00","$8263225.00","$805590.00","$7186475.00","$117848671.00","$7448824.00","$107051257.00",NA,3943126,7310,3436060,17272770,5250,5140,5957100,508909,"HQ","NP","MO","KINGS",2443370,"NY0004","NY",2,1,"Y","$1059690.00","CO1",NA,1122.19,130468,13225122,1108,2010,"10 GRAND ARMY PLAZA","5698",NA,"$5425613.00","$963521.00","$1298560.00",6923,107,"1/1/09","12/31/09",43484,768881,"$0.00","$1298560.00","$0.00",21343,0,0,0,8,1173872,2312788,-73.969496,36,47,51000,1005,"11",2567098,"11",9521,112810,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2009"
"160803","4801290000","NEW YORK PUBLIC LIBRARY, THE BRANCH LIBRARIES","2129300674",1,88,0,521.33,521.33,1647.29,"$161587200.00","$13651332.00","$2235799.00","$103941770.00","$281416101.00","$21567956.00","$240824823.00",NA,21528651,60707,7940465,21401876,8187,3218,5603969,459708,"HQ","NP","MO","NEW YORK",3284062,"NY0778","NY",2,1,"Y","$26437.00","MC1",NA,2168.62,242424,17941990,3609,2010,"455 FIFTH AVENUE","122",NA,"$21531804.00","$9715.00","$68448401.00",198387,359,"1/1/09","12/31/09",41453,845716,"$31463591.00","$3282626.00","$33702184.00",18091,0,0,0,8,3025888,3063761,-73.981907,36,61,51000,1003,"14",1629054,"11",6675,99944,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2009"
"169383","400300000","BROOKLYN PUBLIC LIBRARY","7182302403",1,57,4,223.13,252.88,797.56,"$60790402.00","$7696746.00","$1002844.00","$6438518.00","$75928510.00","$9326834.00","$101992063.00",NA,3631313,3626,3400650,19473773,6047,4230,6577174,406958,"HQ","NP","MO","KINGS",2446630,"NY0004","NY",2,1,"Y","$1248169.00","CO1",NA,1050.44,110136,12340500,1108,2011,"10 GRAND ARMY PLAZA","5698",NA,"$6654862.00","$1423803.00","$1319867.00",11083,112,"1/1/10","12/31/10",38447,674748,"$0.00","$1319867.00","$0.00",16222,0,0,0,9,706225,2307968,-73.969496,36,47,51000,1005,"11",2508340,"11",8025,89890,17792,4771,268248,1559,NA,"",NA,"","","","01/01/2010"
"169912","6800310000","QUEENS BOROUGH PUBLIC LIBRARY","7189900700",1,61,0,314.13,314.13,885.06,"$61430663.00","$10549272.00","$2816842.00","$5899676.00","$80696453.00","$7410194.00","$101803226.00",NA,5658275,6917,3511118,21901954,5030,1282,6840918,231290,"HQ","CO","MO","QUEENS",2212472,"NY0562","NY",2,1,"Y","$307183.00","CO1",NA,1199.19,129579,13683192,1361,2011,"89-11 MERRICK BOULEVARD","5248",NA,"$6114632.00","$988379.00","$0.00",12536,33,"1/1/10","12/31/10",26295,534472,"$0.00","$0.00","$0.00",13662,0,6,0,9,897623,2836014,-73.795283,36,81,51000,2005,"6",2233841,"11",3697,47875,173357,6675,421061,5182,NA,"",NA,"","","","01/01/2010"
"170109","4801290000","NEW YORK PUBLIC LIBRARY, THE BRANCH LIBRARIES","2129300674",1,89,0,392.3,511.39,1239.7,"$93757616.00","$11237941.00","$1122834.00","$82477857.00","$188596248.00","$29874549.00","$231206520.00",NA,20919629,63576,7502578,26667083,8152,3637,7231885,425793,"HQ","NP","MO","NEW YORK",3288444,"NY0778","NY",2,1,"Y","$10041.00","MC1",NA,1751.09,210266,17786153,3766,2011,"455 FIFTH AVENUE","122",NA,"$29858263.00","$6245.00","$66537208.00",182256,379,"1/1/10","12/31/10",43287,853292,"$52648692.00","$10171275.00","$3717241.00",17622,0,0,0,9,2815855,4400000,-73.981907,36,61,51000,1003,"14",1586698,"11",7578,97309,1626072,13056,309372,900,NA,"",NA,"","","","01/01/2010"
"178691","400300000","BROOKLYN PUBLIC LIBRARY","7182302403",1,58,4,294,319.38,731.06,"$84374219.00","$10798147.00","$1333514.00","$9024038.00","$105529918.00","$5427037.00","$96048499.00",NA,3208769,3399,3400650,20148596,21053,5140,7222280,382905,"HQ","NP","MO","KINGS",2445488,"NY0004","NY",2,1,"Y","$989967.00","CO1",NA,1050.44,135304,12340500,957,2012,"10 GRAND ARMY PLAZA","5698",NA,"$3399214.00","$1037856.00","$1460020.00",29060,118,"1/1/11","12/31/11",35370,640415,"$0.00","$1460020.00","$0.00",14909,0,0,0,9,818589,2194395,-73.969496,36,47,51000,1003,"36",2540230,"11",6709,69479,30482,7463,286187,915,35620,"0",NA,"","","","01/01/2011"
"179224","6800310000","QUEENS BOROUGH PUBLIC LIBRARY","7189900700",1,61,0,287.88,287.88,775.25,"$84798027.00","$9659348.00","$2465238.00","$3202409.00","$100125022.00","$4307412.00","$97333968.00",NA,6102360,7253,3008642,19498937,4951,1339,6959491,297125,"HQ","CO","MO","QUEENS",2211439,"NY0562","NY",2,1,"Y","$262990.00","CO1",NA,1063.13,125632,12551065,1536,2012,"89-11 MERRICK BOULEVARD","5248",NA,"$3459012.00","$585410.00","$0.00",17908,31,"1/1/11","12/31/11",34297,668569,"$0.00","$0.00","$0.00",17337,0,0,0,9,898120,2662357,-73.795269,36,81,51000,2006,"36",2256438,"11",5073,91963,176763,3559,469918,664,35620,"0",NA,"","","","01/01/2011"
"179419","4801290000","NEW YORK PUBLIC LIBRARY, THE BRANCH LIBRARIES","2129300953",1,89,0,436.55,623.36,1132.35,"$129814982.00","$29419248.00","$1312531.00","$80627620.00","$241174381.00","$21902668.00","$219503168.00",NA,20528019,60835,8236249,27599365,9126,4739,7490244,520598,"HQ","NP","MO","NEW YORK",3286909,"NY0778","NY",2,1,"Y","$0.00","MC1",NA,1755.71,213148,17520417,3863,2012,"455 FIFTH AVENUE","122",NA,"$21900168.00","$2500.00","$97561899.00",218457,369,"1/1/11","12/31/11",48994,1055636,"$90960808.00","$6601091.00","$0.00",21634,0,0,0,9,2195964,3497553,-73.981907,36,61,51000,1003,"36",1606099,"11",9238,131220,1591254,12334,343955,1006,35620,"0",NA,"","","","01/01/2011"
"188000","400300000","BROOKLYN PUBLIC LIBRARY","7182302404",1,59,4,268.19,290.5,647.06,"$79110486.00","$8973141.00","$2733863.00","$10799113.00","$101616603.00","$7142083.00","$99912119.00",NA,3179126,6445,3186050,19238573,4884,5066,9011290,509024,"HQ","NP","MO","KINGS",2487149,"NY0004","NY",2,1,"Y","$1414870.00","CO1",NA,937.56,136027,12024071,936,2013,"10 GRAND ARMY PLAZA","5619",NA,"$4664460.00","$1062753.00","$1391747.00",43994,77,"1/1/12","12/31/12",40911,799708,"$0.00","$1391747.00","$0.00",18613,0,0,0,9,915441,2268553,-73.969504,36,47,51000,1003,"36",2568435,"11",7371,80777,44651,9309,230777,916,35620,"0",68,"house","STD","NND","01/01/2012"
"188530","6800310000","QUEENS BOROUGH PUBLIC LIBRARY","7189900700",1,61,0,295.75,295.75,759.5,"$80481622.00","$7069082.00","$5743121.00","$3834481.00","$97128306.00","$4119147.00","$97328071.00",NA,4481261,7130,4626648,17939473,3003,1622,6711083,294662,"HQ","CO","MO","QUEENS",2215091,"NY0562","NY",2,1,"Y","$498600.00","CO1",NA,1055.25,127606,12881000,1650,2013,"89-11 MERRICK BOULEVARD","5242",NA,"$3077246.00","$543301.00","$0.00",27192,34,"1/1/12","12/31/12",35363,660149,"$0.00","$0.00","$0.00",17675,0,0,0,9,883994,2594650,-73.795305,36,81,51000,2006,"36",2275889,"11",5509,84892,119600,3531,378074,736,35620,"0",25,"postalcode-sub","PCR","POC","01/01/2012"
"188726","4801290000","NEW YORK PUBLIC LIBRARY, THE BRANCH LIBRARIES","2126420118",1,87,0,413.74,600.59,1184.92,"$122911369.00","$15075433.00","$1443441.00","$115062833.00","$254493076.00","$24078205.00","$228659277.00",NA,20889337,60776,9194784,26976911,6813,5936,7916509,645247,"HQ","NP","MO","NEW YORK",3415609,"NY0778","NY",2,1,"Y","$25320.00","MC1",NA,1785.51,213148,18162641,4069,2013,"455 FIFTH AVENUE","118",NA,"$24036116.00","$16769.00","$51317693.00",262444,374,"1/1/12","12/31/12",58289,1214726,"$41459232.00","$3111831.00","$6746630.00",25909,0,0,0,9,2044850,4742842,-73.981914,36,61,51000,1003,"36",1621323,"11",10399,142688,1351045,12500,729856,1100,35620,"0",365,"house","STD","NND","01/01/2012"
